source,target,ricciCurvature,group,weight,low,bfcsecond
2,22,0.3827639751552788,0,1.0,0.4565217391304347,0.06505102040816327
2,23,0.34704968944099335,0,1.0,0.3416149068322981,0.06505102040816327
2,24,0.4230769230769238,0,1.0,0.5719063545150503,0.07248520710059171
2,25,0.36956521739130443,0,1.0,0.13043478260869557,0.08695652173913043
2,26,0.390316205533597,0,1.0,0.29644268774703564,0.08506616257088846
2,28,0.2938808373590982,0,1.0,0.1594202898550725,0.06858710562414266
2,29,0.4130434782608696,0,1.0,0.42885375494071143,0.08506616257088846
3,4,0.3304093567251466,0,1.0,0.20662768031189072,0.06310013717421124
3,5,0.4044444444444437,0,1.0,0.4355555555555555,0.07133058984910837
3,6,0.4429629629629622,0,1.0,0.6637037037037036,0.07133058984910837
3,7,0.422962962962962,0,1.0,0.5496296296296296,0.07133058984910837
3,9,0.3624338624338618,0,1.0,0.35978835978835966,0.06584362139917696
3,10,0.39533011272141705,0,1.0,0.5120772946859903,0.06858710562414266
3,11,0.39550264550264524,0,1.0,0.5317460317460317,0.07015306122448979
3,12,0.43055555555555647,0,1.0,0.7037037037037036,0.06995884773662552
3,13,0.38740740740740665,0,1.0,0.4355555555555555,0.07133058984910837
3,14,0.3935185185185195,0,1.0,0.4722222222222222,0.06995884773662552
3,15,0.41634738186462206,0,1.0,0.5810983397190295,0.06658739595719382
3,17,0.34391534391534373,0,1.0,0.23809523809523814,0.06584362139917696
3,18,0.37830687830687804,0,1.0,0.42328042328042337,0.07015306122448979
3,19,0.38888888888888906,0,1.0,0.5925925925925924,0.07270233196159122
3,20,0.42017879948914316,0,1.0,0.5810983397190295,0.06658739595719382
3,21,0.34541062801932354,0,1.0,0.1594202898550725,0.06858710562414266
3,22,0.44576719576719515,0,1.0,0.6402116402116402,0.07015306122448979
3,23,0.41269841269841245,0,1.0,0.5317460317460317,0.07015306122448979
3,24,0.42735042735042816,0,1.0,0.6267806267806267,0.07270233196159122
3,25,0.3888888888888886,0,1.0,0.39452495974235113,0.06858710562414266
3,26,0.37037037037037035,0,1.0,0.3164983164983165,0.06721536351165981
3,27,0.36752136752136844,0,1.0,0.4017094017094017,0.07270233196159122
3,28,0.3333333333333336,0,1.0,0.2592592592592593,0.07407407407407407
3,29,0.37457912457912457,0,1.0,0.4360269360269361,0.06721536351165981
3,31,-0.18962962962962893,1,1.0,-1.731851851851852,0.07133058984910837
4,5,0.33894736842105355,0,1.0,0.17473684210526308,0.0704
4,6,0.35263157894736885,0,1.0,0.3073684210526315,0.0704
4,7,0.3326315789473693,0,1.0,0.17473684210526308,0.0704
4,11,0.266917293233083,0,1.0,0.03759398496240607,0.05994897959183673
4,12,0.37499999999999967,0,1.0,0.36403508771929816,0.07465277777777778
4,13,0.3063157894736849,0,1.0,0.04210526315789476,0.0704
4,14,0.3541666666666663,0,1.0,0.22807017543859653,0.07465277777777778
4,16,0.29545454545454575,0,1.0,-0.22488038277511957,0.08471074380165289
4,19,0.23781676413255415,0,1.0,-0.04678362573099426,0.06310013717421124
4,20,0.32032667876587995,0,1.0,0.2413793103448275,0.057074910820451845
4,22,0.3298872180451131,0,1.0,0.2857142857142857,0.05994897959183673
4,23,0.3026315789473685,0,1.0,0.16165413533834583,0.05994897959183673
4,24,0.3653846153846153,0,1.0,0.3846153846153847,0.06656804733727811
4,25,0.36956521739130466,0,1.0,0.2860411899313502,0.07939508506616257
4,27,0.27125506072874483,0,1.0,-0.004048582995951455,0.06656804733727811
4,29,0.34090909090909116,0,1.0,0.062200956937799146,0.08471074380165289
5,6,0.41999999999999993,0,1.0,0.43999999999999995,0.08
5,7,0.3799999999999999,0,1.0,0.20000000000000007,0.08
5,8,0.26941176470588246,0,1.0,-0.136470588235294,0.0672
5,9,0.32380952380952355,0,1.0,0.21714285714285708,0.0736
5,10,0.3434782608695661,0,1.0,0.14260869565217393,0.0768
5,11,0.3300000000000005,0,1.0,0.04571428571428571,0.06760204081632654
5,13,0.3999999999999999,0,1.0,0.31999999999999984,0.08
5,14,0.3624999999999996,0,1.0,0.2316666666666668,0.0784
5,15,0.3793103448275865,0,1.0,0.32827586206896564,0.06420927467300833
5,17,0.3514285714285714,0,1.0,0.21714285714285708,0.0736
5,18,0.35214285714285776,0,1.0,0.15714285714285725,0.06760204081632654
